FlightNumber,Date,BoosterVersion,PayloadMass,Orbit,LaunchSite,Payload,Core,Block,ReusedCount,Serial,Longitude,Latitude,GridFins,Reused,Legs,LandingPad,LandingOutcome,Flights
1,2010-06-04,Falcon 9,6123.547647058824,LEO,CCSFS SLC 40,5eb0e4b7b6c3bb0006eeb1e7,"{'core': '5e9e289ef359185f2b3b2628', 'flight': 1, 'gridfins': False, 'legs': False, 'reused': False, 'landing_attempt': False, 'landing_success': None, 'landing_type': None, 'landpad': None}",1.0,0,B0003,-80.577366,28.5618571,False,False,False,,None None,1
2,2012-05-22,Falcon 9,525.0,LEO,CCSFS SLC 40,5eb0e4bab6c3bb0006eeb1ea,"{'core': '5e9e289ef35918f39c3b262a', 'flight': 1, 'gridfins': False, 'legs': False, 'reused': False, 'landing_attempt': False, 'landing_success': None, 'landing_type': None, 'landpad': None}",1.0,0,B0005,-80.577366,28.5618571,False,False,False,,None None,1
3,2013-03-01,Falcon 9,677.0,ISS,CCSFS SLC 40,5eb0e4bbb6c3bb0006eeb1ed,"{'core': '5e9e289ff3591884e03b262c', 'flight': 1, 'gridfins': False, 'legs': False, 'reused': False, 'landing_attempt': False, 'landing_success': None, 'landing_type': None, 'landpad': None}",1.0,0,B0007,-80.577366,28.5618571,False,False,False,,None None,1
4,2013-09-29,Falcon 9,500.0,PO,VAFB SLC 4E,5eb0e4bbb6c3bb0006eeb1ee,"{'core': '5e9e289ff359180ae23b262d', 'flight': 1, 'gridfins': False, 'legs': False, 'reused': False, 'landing_attempt': True, 'landing_success': False, 'landing_type': 'Ocean', 'landpad': None}",1.0,0,B1003,-120.610829,34.632093,False,False,False,,False Ocean,1
5,2013-12-03,Falcon 9,3170.0,GTO,CCSFS SLC 40,5eb0e4bbb6c3bb0006eeb1ef,"{'core': '5e9e289ff35918862c3b262e', 'flight': 1, 'gridfins': False, 'legs': False, 'reused': False, 'landing_attempt': False, 'landing_success': None, 'landing_type': None, 'landpad': None}",1.0,0,B1004,-80.577366,28.5618571,False,False,False,,None None,1
6,2014-01-06,Falcon 9,3325.0,GTO,CCSFS SLC 40,5eb0e4bbb6c3bb0006eeb1f0,"{'core': '5e9e289ff3591878603b262f', 'flight': 1, 'gridfins': False, 'legs': False, 'reused': False, 'landing_attempt': False, 'landing_success': None, 'landing_type': None, 'landpad': None}",1.0,0,B1005,-80.577366,28.5618571,False,False,False,,None None,1
7,2014-04-18,Falcon 9,2296.0,ISS,CCSFS SLC 40,5eb0e4bbb6c3bb0006eeb1f1,"{'core': '5e9e289ff3591829343b2630', 'flight': 1, 'gridfins': False, 'legs': True, 'reused': False, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'Ocean', 'landpad': None}",1.0,0,B1006,-80.577366,28.5618571,False,False,True,,True Ocean,1
8,2014-07-14,Falcon 9,1316.0,LEO,CCSFS SLC 40,5eb0e4bcb6c3bb0006eeb1f2,"{'core': '5e9e28a0f3591870a63b2631', 'flight': 1, 'gridfins': False, 'legs': True, 'reused': False, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'Ocean', 'landpad': None}",1.0,0,B1007,-80.577366,28.5618571,False,False,True,,True Ocean,1
9,2014-08-05,Falcon 9,4535.0,GTO,CCSFS SLC 40,5eb0e4bcb6c3bb0006eeb1f3,"{'core': '5e9e28a0f359186e2e3b2632', 'flight': 1, 'gridfins': False, 'legs': False, 'reused': False, 'landing_attempt': False, 'landing_success': None, 'landing_type': None, 'landpad': None}",1.0,0,B1008,-80.577366,28.5618571,False,False,False,,None None,1
10,2014-09-07,Falcon 9,4428.0,GTO,CCSFS SLC 40,5eb0e4bcb6c3bb0006eeb1f4,"{'core': '5e9e28a0f35918b1bc3b2633', 'flight': 1, 'gridfins': False, 'legs': False, 'reused': False, 'landing_attempt': False, 'landing_success': None, 'landing_type': None, 'landpad': None}",1.0,0,B1011,-80.577366,28.5618571,False,False,False,,None None,1
